X,Y,ConsentNo,ConsentType,ConsentSource,ConsentStatus,PermitType,FeatureType,RMASection,ActivityText,Location,fmDate,toDate,GIS_TerritorialAuthority,GIS_Catchment,GIS_CWMSZone,GIS_Runanga,NZTMX,NZTMY
1574397.9992,5185886.0427,CRC 961602.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"330 Burwood Road, BURWOOD",1997-05-16,2032-05-14,Christchurch City,6668300 - Horseshoe Lake Outlet,Christchurch - West Melton,Tuahuriri,1574397,5185886
1560953.2899,5179997.8986,CRC 52665.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"49 Kaniere Avenue, HEI HEI",2005-03-24,2040-03-24,Christchurch City,6821300 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1560953,5179997
1469911.3774,5104531.5187,CRC 102978.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"269 Canal Road, CLANDEBOYE",2010-09-14,2045-09-13,Timaru District,6950000 - Orari River,Orari-Temuka-Opihi-Pareora,Arowhenua,1469911,5104531
1534294.6532,5153674.7064,CRC 11604.20,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Main Rakaia Road, SELWYN",2012-06-26,2036-03-15,Selwyn District,6820600 - Rakaia II water Race,Selwyn - Waihora,Taumutu,1534294,5153674
1566881.2197,5176309.5099,CRC 54129.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"18 Haslam Crescent, HOON HAY",2005-05-12,2040-05-11,Christchurch City,6664940 - Hendersons Drain,Christchurch - West Melton,Tuahuriri,1566881,5176309
1577067.1582,5176879.6791,CRC 60645.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"16 Hilltop Lane, ST ANDREWS",2005-10-18,2040-10-14,Christchurch City,6663000 - Mt Pleasant,Christchurch - West Melton,Tuahuriri,1577067,5176879
1499186.9828,5137403.3675,CRC 971862.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"16 Cass Street, ASHBURTON",1997-04-08,2032-04-02,Ashburton District,6880000 - Ashburton River,Ashburton,Arowhenua,1499186,5137403
1575457.7052,5180278.2685,CRC 991048.10,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"6 Senior Place, BROMLEY",2003-04-09,2034-09-03,Christchurch City,6667000 - Dyers Road Drain,Christchurch - West Melton,Tuahuriri,1575457,5180278
1559482.5333,5186390.1791,CRC 130764.00,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Cleanfill/Quarry,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"McLeans Island Road, CHRISTCHURCH",2012-12-13,2024-11-30,Christchurch City,6820800 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1559482,5186390
1651159.7289,5305523.4574,CRC 150949.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Inland Road, KAIKOURA",2014-07-10,2047-02-10,Kaikoura District,6320000 - Kowhai River,Kaikoura,Kaikoura,1651159,5305523
1570279.5394,5188964.804,CRC 152815.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"10 March Place, BELFAST",2014-10-08,2031-07-03,Christchurch City,6640130 - Kaputane Creek,Christchurch - West Melton,Tuahuriri,1570279,5188964
1423697.7787,5121796.0703,CRC 74166.00,Discharge Permit (s15),Renewal,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Strathallan Road, FAIRLIE",2007-11-14,2042-11-13,Mackenzie District,6961900 - Stoneleigh Stream,Orari-Temuka-Opihi-Pareora,"Arowhenua, Waihao",1423697,5121796
1460242.3727,5087470.4673,CRC 184720.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Discharge Point,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"95 Meadows Road, Timaru",2018-05-14,2033-05-14,Timaru District,6970000 - Levels and Seadown Plains Area,Orari-Temuka-Opihi-Pareora,Arowhenua,1460242,5087470
1562593.2192,5180947.3253,CRC 202221.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Discharge Point,s15(2A) Other Discharge to Air,Discharge Contaminant into Air,"25  Steadman Road, Broomfield",2020-04-23,2040-04-23,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1562593,5180947
1489844.0653,5116635.6071,CRC 64110.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"386 Trig Pole Road, ASHBURTON 8300",2006-08-25,2041-08-24,Ashburton District,6920200 - Boundary Drain,Ashburton,Arowhenua,1489844,5116635
1534192.7158,5173138.5819,CRC 150431.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Clintons Road, GREENDALE",2014-06-16,2042-06-13,Selwyn District,6822500 - Kowai/Waimak Water Race,Selwyn - Waihora,Taumutu,1534192,5173138
1566075.4189,5187522.3547,CRC 155331.00,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"550 Johns Road, Harewood, Christchurch",2015-10-19,2036-01-16,Christchurch City,6640100 - Styx River,Christchurch - West Melton,Tuahuriri,1566075,5187522
1568060.8592,5174240.3575,CRC 202572.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Small Scale Burner,Unknown,Unknown,"9 Blencathra Place, WESTMORLAND",2019-12-09,2039-04-19,Christchurch City,6664900 - Cashmere Stream,Christchurch - West Melton,Tuahuriri,1568060,5174240
1564352.0548,5179268.2947,CRC 991718.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"530 Blenheim Road, CHRISTCHURCH",1999-05-19,2034-05-13,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1564352,5179268
1554905.3578,5182666.7254,CRC 10563.10,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Cleanfill/Quarry,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"117 Miners Road, YALDHURST",2006-06-26,2036-09-10,Christchurch City,6820900 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1554905,5182666
1574198.3068,5177189.4565,CRC 980018.20,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Wood Waste,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"164 Cumnor Terrace, CHRISTCHURCH",2005-03-07,2032-07-30,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1574198,5177189
1572069.7352,5165673.9753,CRC 140551.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Cleanfill/Quarry,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"468 Governors Bay, Teddington Road, TEDDINGTON",2013-05-16,2045-06-01,Christchurch City,6670410 - Foleys,Banks Peninsula,Rapaki,1572069,5165673
1549298.2246,5167791.5388,CRC 72522.10,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Gould Road, SPRINGSTON",2012-07-12,2042-10-18,Selwyn District,6800110 - Baileys Creek,Selwyn - Waihora,Taumutu,1549298,5167791
1511429.0334,5175954.7349,CRC 184223.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Discharge Point,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"133 Leaches Road, Hororata",2018-03-13,2044-02-20,Selwyn District,6822100 - Washpen Creek Water Race,Selwyn - Waihora,Taumutu,1511429,5175954
1558694.8138,5167952.1929,CRC 112031.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"3 Edward Street, LINCOLN",2011-11-16,2046-11-16,Selwyn District,6791400 - L-1 Creek,Selwyn - Waihora,Taumutu,1558694,5167952
1565501.655,5178428.652,CRC 93499.10,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Printing Processes,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"49 Treffers Road, SOCKBURN",2009-09-24,2044-05-14,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1565501,5178428
1536720.8054,5204049.4724,CRC 120746.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Harewood Road and Warren Road, OXFORD",2011-12-06,2046-12-05,Waimakariri District,6640610 - Bennetts Creek,Waimakariri,Tuahuriri,1536720,5204049
1571560.1611,5175977.7697,CRC 144160.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"7A Whaka Terrace, Huntsbury, Christchurch",2014-01-28,2034-01-28,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1571560,5175977
1563022.5542,5179248.2523,CRC 41368.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"10 Gerald Connolly Place, SOCKBURN",2004-03-05,2039-03-04,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1563022,5179248
1578764.0754,5257476.3269,CRC 171145.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Balmoral Station Road, CULVERDEN",2016-07-28,2047-01-16,Hurunui District,6510000 - Hurunui River,Hurunui - Waiau,Kaikoura,1578764,5257476
1570162.7595,5173679.8129,CRC 224852.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Other Industry/Trade,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"225 & 365 Worsleys Road, Port Hills",2022-05-27,2050-09-16,Christchurch City,6664910 - Flemings Drain,Christchurch - West Melton,Tuahuriri,1570162,5173679
1563432.0193,5193103.2326,CRC 54286.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Fibreglassing,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"620 South Eyre Road, KAIAPOI",2006-03-09,2026-03-03,Waimakariri District,6640400 - Kaiapoi River,Waimakariri,Tuahuriri,1563432,5193103
1575297.8007,5179188.6969,CRC 981736.10,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Metal Works,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"120 Maces Road, BROMLEY",2008-05-14,2033-06-17,Christchurch City,6666000 - Charlesworth Drain,Christchurch - West Melton,Tuahuriri,1575297,5179188
1587551.5875,5287693.1208,CRC 173077.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Discharge Point,s15(2A) Other Discharge to Air,Discharge Contaminant into Air,"River Road, Hanmer Springs",2019-12-04,2050-02-20,Hurunui District,6462000 - Hanmer River,Hurunui - Waiau,Kaikoura,1587551,5287693
1536394.5956,5148966.5463,CRC 153022.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"195 Crossgate Road, SOUTHBRIDGE",2014-09-17,2027-10-31,Selwyn District,6820600 - Rakaia II water Race,Selwyn - Waihora,Taumutu,1536394,5148966
1566701.1815,5178838.5413,CRC 961356.10,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"30 Birmingham Drive, RICCARTON",1999-11-24,2031-04-24,Christchurch City,6664600 - Jacksons Creek Waltham Outfall,Christchurch - West Melton,Tuahuriri,1566701,5178838
1460450.1631,5085090.2223,CRC 921864.20,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Bridge Street, SMITHFIELD",2003-12-23,2030-01-19,Timaru District,6990400 - Taitarakihi Creek,Orari-Temuka-Opihi-Pareora,Arowhenua,1460450,5085090
1535713.8695,5156393.9992,CRC 111511.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Glasseys, Irwell Rakaia, Heslerton & Kings Roads, KILLINCHY",2011-05-26,2046-05-26,Selwyn District,6820400 - Rakaia II Water Race,Selwyn - Waihora,Taumutu,1535713,5156393
1576297.2469,5186185.9541,CRC 42735.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"22 Linkwater Way, FOREST PARK",2004-06-28,2039-06-25,Christchurch City,6640020 - North Waimari Beach,Christchurch - West Melton,Tuahuriri,1576297,5186185
1575377.8051,5178019.1654,CRC 52293.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"41 Ti Rakau Drive, FERRYMEAD",2005-02-23,2040-02-23,Christchurch City,6665000 - Linwood Ave Canal,Christchurch - West Melton,Tuahuriri,1575377,5178019
1567300.9639,5178538.6766,CRC 961508.10,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"83 Wrights Road, ADDINGTON",2002-02-07,2031-02-28,Christchurch City,6664600 - Jacksons Creek Waltham Outfall,Christchurch - West Melton,Tuahuriri,1567300,5178538
1570149.7384,5182217.366,CRC 92416.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"20 Kinloch Street, ST ALBANS",2009-02-05,2044-02-03,Christchurch City,6668510 - St Albans Drain,Christchurch - West Melton,Tuahuriri,1570149,5182217
1568550.1384,5193443.1177,CRC 42172.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"147 Mabers Road, CLARKVILLE",2004-06-28,2039-06-25,Waimakariri District,6640410 - Courtney Stream,Waimakariri,Tuahuriri,1568550,5193443
1462065.939,5125376.647,CRC 102110.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Peel Forest Road, GERALDINE",2010-02-11,2045-02-11,Timaru District,6950300 - Coopers Creek,Orari-Temuka-Opihi-Pareora,Arowhenua,1462065,5125376
1567260.7837,5184346.4825,CRC 54353.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"138 Harris Crescent, PAPANUI",2005-06-07,2040-06-03,Christchurch City,6668500 - Dudley Creek,Christchurch - West Melton,Tuahuriri,1567260,5184346
1560123.6815,5178088.5581,CRC 110152.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"17 Hickory Place, HORNBY",2010-11-04,2044-07-02,Christchurch City,6821300 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1560123,5178088
1484440.1787,5136440.4603,CRC 120167.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Barford Road, ASHBURTON",2011-09-07,2046-09-07,Ashburton District,6890000 - Westerfield Plains Area,Ashburton,Arowhenua,1484440,5136440
1563002.5441,5179668.0966,CRC 921819.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"29-33 Buchanans Road, SOCKBURN",1993-10-21,2028-04-30,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1563002,5179668
1561793.1268,5176759.119,CRC 980493.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Wood Waste,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"517 Halswell Junction Road, CHRISTCHURCH",1999-05-27,2034-05-24,Christchurch City,6821300 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1561793,5176759
1560851.3472,5176405.7126,CRC 154311.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"2 Sir James Wattie Drive, Hornby, Christchurch",2015-02-19,2050-02-19,Christchurch City,6821300 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1560851,5176405
1489861.9063,5207895.8645,CRC 156385.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Porters Ski Area , State Highway 73, Canterbury",2015-05-21,2050-05-21,Selwyn District,6641670 - Porter River,Selwyn - Waihora,Taumutu,1489861,5207895
1566651.2102,5178598.6304,CRC 40038.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"15 Vulcan Place, MIDDLETON",2003-08-11,2038-08-07,Christchurch City,6664600 - Jacksons Creek Waltham Outfall,Christchurch - West Melton,Tuahuriri,1566651,5178598
1497064.7974,5151949.818,CRC 111026.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Winchmore Lauriston Road, WINCHMORE",2011-02-03,2046-02-02,Ashburton District,6860400 - Winchmore-Somerton Area,Ashburton,Arowhenua,1497064,5151949
1460129.1846,5087449.8288,CRC 52662.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Abrasive Blasting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"5 Elginshire Street, TIMARU",2005-07-08,2030-07-08,Timaru District,6970000 - Levels and Seadown Plains Area,Orari-Temuka-Opihi-Pareora,Arowhenua,1460129,5087449
1592211.9585,5148612.9162,CRC 91608.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Human Effluent,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Road Reserve, WAINUI",2011-09-21,2046-09-21,Christchurch City,6741000 - Wainui Bay,Banks Peninsula,"Onuku, Wairewa",1592211,5148612
1557085.5679,5165892.8345,CRC 102580.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Cleanfill/Quarry,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Springs Road, LINCOLN",2010-05-11,2030-05-11,Selwyn District,6790900 - Bartleys Drain,Selwyn - Waihora,Taumutu,1557085,5165892
1549776.6986,5205059.1752,CRC 150442.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Bellaneys Road & Swamp Road, CUST",2014-06-16,2043-04-23,Waimakariri District,6640440 - Cust River,Waimakariri,Tuahuriri,1549776,5205059
